序号,类别,英文,中文,适用级别,核心句型
91,习惯管理,I'll make a schedule.,我会做计划表。,L3,I'll...
92,习惯管理,I'll stay on task.,我会专注任务。,L3,I'll...
93,习惯管理,I'm doing well.,我做得不错。,L2,I'm...
94,习惯管理,I'll keep it up.,我会继续保持。,L2,I'll...
95,习惯管理,I'm building good habits.,我在培养好习惯。,L3,I'm...
96,外出安全,I'm going out now.,我现在要出门了。,L2,I'm going...
97,外出安全,I'll be back soon.,我很快回来。,L2,I'll...
98,外出安全,Can I go outside?,我可以出去吗？,L2,Can I...?
99,外出安全,Where are we going?,我们去哪里？,L2,Where are we...?
100,外出安全,I'll stay close to you.,我会跟紧你。,L2,I'll...
101,外出安全,I'll be careful.,我会小心。,L2,I'll...
102,外出安全,I'll look both ways.,我会左右看。,L2,I'll...
103,外出安全,I won't run.,我不会跑。,L2,I won't...
104,外出安全,I'll walk slowly.,我会慢慢走。,L2,I'll...
105,外出安全,I'm ready to go.,我准备好了。,L2,I'm...
106,外出安全,Let's leave now.,我们现在出发吧。,L2,Let's...
107,外出安全,I know the direction.,我知道方向。,L3,I know...
108,外出安全,I won't go alone.,我不会单独去。,L2,I won't...
109,外出安全,I won't talk to strangers.,我不会和陌生人说话。,L3,I won't...
110,外出安全,I'll ask for help if needed.,需要的话我会求助。,L3,I'll...
111,请求许可,Can I watch TV?,我可以看电视吗？,L1,Can I...?
112,请求许可,Is it okay if I go out?,我可以出去吗？,L2,Is it okay if...?
113,请求许可,Can I play now?,我现在可以玩吗？,L1,Can I...?
114,请求许可,May I use this?,我可以用这个吗？,L2,May I...?
115,请求许可,Can I stay a bit longer?,我可以多待一会吗？,L2,Can I...?
116,请求许可,Can I join you?,我可以加入吗？,L2,Can I...?
117,请求许可,Can I invite a friend?,我可以邀请朋友吗？,L2,Can I...?
118,请求许可,Can I try this?,我可以试试这个吗？,L2,Can I...?
119,请求许可,Is it my turn?,轮到我了吗？,L2,Is it...?
120,请求许可,Can I choose?,我可以选择吗？,L2,Can I...?
121,请求许可,Can I borrow it?,我可以借吗？,L2,Can I...?
122,请求许可,Can I take a break?,我可以休息一下吗？,L2,Can I...?
123,请求许可,Can I try again?,我可以再试一次吗？,L2,Can I...?
124,请求许可,Can I help?,我可以帮忙吗？,L1,Can I...?
125,请求许可,Can I start now?,我可以开始了吗？,L2,Can I...?
